id|effective|name|location|employees
68d7334a-6986-44c5-885f-8f3a5ce3abd2|3/23/14|8 POINTS MANAGEMENT, LLC|INGLEWOOD|144
3ae88824-ee8c-4c65-9757-ecde9b2305dc|2/18/14|ABBOTT VASCULAR|MURRIETA|1
c6641e81-3f6f-4cbd-acac-d95eeb632c2e|2/18/14|ABBOTT VASCULAR|SANTA CLARA|91
90c179b7-af24-4d87-b394-f3217d5defa7|2/18/14|ABBOTT VASCULAR|TEMECULA|52
a163c715-4c7e-4404-b817-ba78b544cfb2|3/11/14|ABBOTT VASCULAR-ZEVO SITE|TEMECULA|13
e46b2233-bfe6-4cf2-a63c-7ab38964657b|1/25/14|ABERCROMBIE KIDS|ROSEVILLE|52
ec51fd19-965a-4974-8a4e-988532bb3b93|1/3/14|ACTAVIS|CORONA|56
1e1feb8e-e2c0-488d-a011-472b0cc8f74d|7/1/14|ACTAVIS, INC.-SHARED SERVICE DEPARTMENT|CORONA|1
c4a88768-02a9-459b-baf0-9a9f9288b420|2/7/14|ADOBE SYSTEMS INC|SAN FRANCISCO|17
c12eb61b-d915-4f0c-bc78-0b80cab9f53c|2/7/14|ADOBE SYSTEMS INC|SAN JOSE|40
7561b5a6-c1c6-40d5-9b9c-0411efd36e19|3/31/14|ADOBE SYSTEMS INCORPORATED|SAN FRANCISCO|25
330b7a66-1c47-45a0-85d0-15aeaf91b020|3/31/14|ADOBE SYSTEMS INCORPORATED|SAN JOSE|46
ea33943b-de06-4868-a2e7-b4112ac07865|3/31/14|AEROJET ROCKETDYNE|CANOGA PARK|8
496a14a7-0230-4735-a624-5c6f0009f754|3/31/14|AEROJET ROCKETDYNE|CANOGA PARK|154
b53c32a9-e896-4254-8bf2-88413c63429a|3/31/14|AEROJET ROCKETDYNE|CANOGA PARK|7
21a59f5a-f1ab-41c7-8bc3-883d5839f4a5|3/31/14|AEROJET ROCKETDYNE|RANCHO CORDOVA|61
5c69d78d-3d3c-41e4-9b70-610d0ce59abe|2/20/14|ALBERTSON'S, LLC|CHULA VISTA|66
df985b5d-dc21-4c62-985f-ad9daf7e3b3c|2/20/14|ALBERTSON'S, LLC|LONG BEACH|75
c6d2e73d-b0d1-4576-ac08-ec5ab35691b2|2/20/14|ALBERTSON'S, LLC|MONROVIA|67
acf27583-65d9-42a0-a492-ac4036a46cc6|2/20/14|ALBERTSON'S, LLC|MOORPARK|66
c69063ae-198e-4295-a77b-f7879a96110a|2/20/14|ALBERTSON'S, LLC|ONTARIO|74
9128b426-bb73-4f8f-810b-5f00c9dc7e45|2/20/14|ALBERTSON'S, LLC|SAN DIEGO|92
124eb42f-a7a3-4948-b8d1-d57641fcfb7b|2/20/14|ALBERTSON'S, LLC|WOODLAND HILLS|71
7a165d80-daf9-4349-8d5e-950b267cc02e|1/17/14|ALLIED BEVERAGES INC|CAMARILLO|139
2b0e7a6a-b911-4396-b938-c6dc179e86c0|1/17/14|ALLIED BEVERAGES INC|SYLMAR|139
2120e0d4-69a1-4593-b11f-308679b63b35|1/17/14|ALLIED BEVERAGES, INC|SYLMAR|144
9b05508a-2580-48db-b17b-86cdad20a87a|3/2/14|ALTA BATES SUMMIT MED.CTR.-ALTA BATES CAMPUS|BERKELEY|110
5653fefe-9c95-41c0-83bd-9d6beca38fbd|3/2/14|ALTA BATES SUMMIT MEDICAL CENTER-HERRICK CAMPUS|BERKELEY|29
9fde64e0-5807-4ea7-98a8-121e5c5ee01a|3/2/14|ALTA BATES SUMMIT MEDICAL CENTER-SUMMIT CAMPUS|OAKLAND|88
0cfbebfb-2280-4212-a656-a7565991a9b7|4/7/14|ALTA BATES SUMMIT MEDICAL CENTER-SUMMIT CAMPUS|OAKLAND|1
679bf039-1086-4fa5-8c9c-351d3067479d|2/16/14|ALTA BATES SUMMIT MEIDCAL CENTER - SUMMIT CAMPUS|OAKLAND|11
63244e14-1207-46d8-b7a1-78a621abb75a|1/15/14|ALTA RESOURCES|BREA|52
b2f741a7-5ca5-40be-9d7f-ac31534e7c86|4/30/14|AMGEN (THOUSAND OAKS)|THOUSAND OAKS|252
4df7c3d9-7f9d-4462-aa62-e4fb62e068a3|2/6/14|AMMEX ENTERTAINMENT INC.|LOS ANGELES|169
a0dc19b6-35e0-482d-8a21-2ee67792d251|1/19/14|APPLIED MATERIALS INC|SANTA CLARA|2
225cf38a-3e9c-4e5a-b0e6-225f70682f67|1/19/14|APPLIED MATERIALS INC|SUNNYVALE|2
1923099f-ed73-4c9c-bdac-36dd9395dc0a|5/18/14|APPLIED MATERIALS, INC. - GARRETT DRIVE|SANTA CLARA|1
a0679d14-79c4-4ec5-8fd8-1be1fb6a57d9|5/18/14|APPLIED MATERIALS, INC. -OAKMEAD VILLAGE DRIVE|SANTA CLARA|2
f1f70909-ba86-4301-a5e4-2b1549408a43|5/18/14|APPLIED MATERIALS, INC.-SCOTT BOULEVARD|SANTA CLARA|4
384b4665-13c2-49bf-9ea9-20103d23df1f|1/3/14|ARVATO|VALENCIA|3
0ad70686-3c73-4bb3-ba46-949764722a7a|2/7/14|ARVATO|VALENCIA|49
2d690e19-1d44-4add-87e6-ad478b548f3f|3/7/14|ARVATO|VALENCIA|30
b4179c59-2601-4a12-ad18-e6d11c47e19f|5/2/14|ARVATO|VALENCIA|28
f193e9be-cc67-4caf-ba5d-b768c2d6467c|6/14/14|ARVATO|VALENCIA|30
c76e2e16-63ad-4433-a319-6fb29e498030|7/8/14|ARVATO|VALENCIA|10
91b457f3-0456-461b-b65f-16d6cb90edfa|2/1/14|ASPLUNDH CONSTRUCTION, CORP.|NORWALK|83
1f948241-5669-4616-8461-acaf4e4136e5|6/28/14|ASTEC AMERICA, LLC|CARLSBAD|40
07b1ba5a-782b-4db8-82ef-601278ff45d1|1/31/14|ATLANTIC EXPRESS OF CALIFORNIA|LONG BEACH|149
62310db4-b8aa-4ee8-a396-c5df95695038|1/21/14|ATLANTIC EXPRESS OF L.A., INC|LOS ANGELES|307
4e0ba4ea-149a-4d3a-8d89-9b10803d1645|2/28/14|ATOS IT SOLUTIONS AND SERVICES, INC.|IRVINE|1
7e311c2a-304c-45ab-8745-e9430074f1eb|2/28/14|ATOS IT SOLUTIONS AND SERVICES, INC.|IRVINE|1
adbaf22e-e750-437e-8f6e-8d90d40e0fb8|2/28/14|ATOS IT SOLUTIONS AND SERVICES, INC.|WALNUT CREEK|1
999cee2e-5d55-4aa7-8c54-03e5908ecf7f|3/28/14|AVIAT U.S., INC|SANTA CLARA|62
eb3af19c-6e4c-43d1-ab06-225785b8f168|2/28/14|AVNET INTEGRATED|SIMI VALLEY|3
5878a11a-2c06-4045-9296-d79c4c167b6e|1/16/14|BAE SYSTEMS|SAN FRANCISCO|200
8d310142-a137-49b7-aedb-0a31c658c367|3/16/14|BAE SYSTEMS|SAN FRANCISCO|196
73172929-5fca-49c9-8fa6-0fc27dfd548e|5/11/14|BANK OF AMERICA|SIMI VALLEY|30
3d9481f9-fc78-4e52-a3f8-d086ec2c5c6c|4/13/14|BANK OF AMERICA - LOS ANGELES|LOS ANGELES|57
6ec27fe1-b630-4792-93c8-354677c549d6|1/19/14|BANK OF AMERICA-BREA|BREA|24
2996466a-9ec4-4e49-9c38-b07e05ad1ee8|4/13/14|BANK OF AMERICA-CONCORD|CONCORD|71
1477b642-15d9-4665-8758-6d3ab031bcd1|1/19/14|BANK OF AMERICA-LEGACY ASSET SERVICING UNIT|SIMI VALLEY|117
6a9084e3-edc3-42c9-854d-42e1fbf73cfe|4/13/14|BANK OF AMERICA-PASADENA|PASADENA|153
2de08982-5b5b-46c4-8e02-567513e935a4|1/19/14|BANK OF AMERICA-SIMI VALLEY|SIMI VALLEY|44
7d8d66a8-78ac-44a0-9f09-604bcdcc9ed2|4/13/14|BANK OF AMERICA-SIMI VALLEY|SIMI VALLEY|77
64f825d1-d018-4355-a265-3fdb07f04112|1/19/14|BANK OF AMERICA-WEST HILLS|WEST HILLS|49
3486aac1-0fd1-4c54-8153-65b8e9e463f3|1/19/14|BANK OF AMERICA-WESTLAKE VILLAGE|WESTLAKE VILLAGE|13
990844ef-889d-45c3-91fe-2e4eeca387df|1/24/14|BAXTER HEALTHCARE CORPORATION|IRVINE|74
2231c166-9b83-4142-901d-2cf1ce93c0da|5/12/14|BAY AREA NEWS GROUP-SHARED SERVICES CENTER|SAN RAMON|55
